"initial","final","env1","env2","interval","expectedB","expectedT","expectedM","expectedR"
"B","B",-0.668447305313851,-0.218566390422622,9,0.123056502073179,0.602297809604544,0.152560563809363,0.122085124512915
"M","M",-0.433968263308114,0.0736134496973189,7,0.309726505294162,0.122224926859063,0.158341836276497,0.409706731570279
"B","B",-0.433968263308114,0.0736134496973189,7,0.72476037069754,0.223595711816721,0.032567015661957,0.0190769018237816
"M","B",-0.433968263308114,0.0736134496973189,7,0.117521436807039,0.125718757231507,0.356442229957141,0.400317576004312
"B","M",-0.433968263308114,0.121975174724035,7,0.56765281007564,0.410112173402082,0.00205421796266423,0.0201807985596138
"B","R",-0.433968263308114,0.0736134496973189,7,0.457877868132703,0.450614838512285,0.0278791188050687,0.0636281745499431
"B","B",-0.433968263308114,0.0736134496973189,7,0.563435126131438,0.147184849810924,0.263370161937447,0.0260098621201905
"M","T",-0.433968263308114,0.0736134496973189,7,0.598498212991595,0.366067218630668,0.0215633363563102,0.0138712320214262
"B","B",-0.433968263308114,0.0736134496973189,7,0.816508242808809,0.0914335725632673,0.0370124271169605,0.0550457575109636
"M","R",-0.433968263308114,0.0736134496973189,7,0.598498212991595,0.366067218630668,0.0215633363563102,0.0138712320214262
"T","T",-0.668447305313851,-0.218566390422622,9,0.123056502073179,0.602297809604544,0.152560563809363,0.122085124512915
"T","M",-0.668447305313851,-0.218566390422622,9,0.123056502073179,0.602297809604544,0.152560563809363,0.122085124512915
"T","R",-0.668447305313851,-0.218566390422622,9,0.123056502073179,0.602297809604544,0.152560563809363,0.122085124512915
"R","B",-0.668447305313851,-0.218566390422622,9,0.123056502073179,0.602297809604544,0.152560563809363,0.122085124512915
"R","T",-0.668447305313851,-0.218566390422622,9,0.123056502073179,0.602297809604544,0.152560563809363,0.122085124512915
"R","M",-0.668447305313851,-0.218566390422622,9,0.123056502073179,0.602297809604544,0.152560563809363,0.122085124512915
"R","R",-0.668447305313851,-0.218566390422622,9,0.123056502073179,0.602297809604544,0.152560563809363,0.122085124512915

