"initial","final","env1","env2","interval","prevalence1"
0,1,-0.670614507162447,-0.0298383722422743,5,0.67
1,0,-1.14153969674163,-0.0786506390476647,14,0.82
0,1,-0.509097973330171,-0.10563783217583,5,0.55
0,1,-1.20456891217937,0.0189357721637213,10,0.588
1,0,-0.869017950726845,-0.428740762924931,7,0.598
1,0,-1.00743612992393,-0.858283165736287,7,0.486
1,0,-0.932857134838357,0.369003369168579,2,0.604
1,0,-1.22588498600778,0.380041536641689,11,0.498
0,1,-0.203313186913372,0.701252210109683,5,0.278
1,0,-0.627344936008375,0.0107359906122486,11,0.38
0,1,-0.920917951950046,-0.701383499511137,8,0.634
0,1,-1.10583897142907,-0.504273366062457,10,0.548
1,0,-1.08681260551771,0.447216670121024,10,0.478
1,0,-1.09002910200836,-0.676626466749982,7,0.76
0,1,-0.886790425366891,-0.553472055371248,6,0.548
0,1,-1.0264118744781,-1.79107589783263,5,0.632
1,0,-0.55489209121549,-0.0696849438348133,15,0.606
1,0,-1.02695314730259,0.00868604522439705,5,0.794
1,0,-0.563832849842242,-1.06122775913505,9,0.448
0,1,-0.872125405903822,0.0640345706967643,9,0.434
0,1,-1.00574610979182,0.438543824249274,13,0.67
1,0,-0.559526024700684,-1.6790497614166,5,0.506
0,1,-0.95270125471164,-2.00940634507659,5,0.448
0,1,-0.630506902743714,0.28054034127681,7,0.57
0,1,-1.32554171324999,-0.0780424134930297,12,0.568
0,1,-0.6556391630411,-0.244403366123708,8,0.264
0,1,-1.11194485411706,-0.141433032410126,10,0.682
1,0,-1.00563707627684,-0.909374112326185,7,0.55
0,1,-1.02331999110758,-1.70474165938211,5,0.714
0,1,-0.75262456430224,-0.387899543274356,8,0.188
0,1,-1.18995840687422,0.274232817006468,6,0.864
1,0,-0.898238956138004,-2.07721223098293,5,0.324
1,0,-0.969492428366744,-0.654550131803733,7,0.568
0,1,-0.77639389006497,0.225664880124698,3,0.716
1,0,-0.708738534228882,-0.744747728869846,14,0.38
0,1,-0.98388487054127,-1.77681638760714,5,0.286
0,1,-0.768905610649008,-1.30809975370238,10,0.622
0,1,-1.25412469236336,-0.32230129086262,7,0.522
1,0,-1.033549680808,0.58062080843909,11,0.76
0,1,-0.84012403936172,0.0430620524978394,10,0.55
1,0,-1.24071355791639,-0.325612741104558,14,0.474
0,1,-0.713099870928802,-0.470370423109292,7,0.218
0,1,-0.815591476394553,0.612316117897615,12,0.576
1,0,-1.64152114021095,-1.37628859643942,11,0.05
0,1,-0.405864104742611,-1.40617655759742,10,0.098
1,0,-1.31992648124741,-0.333339458335753,7,0.634
0,1,-1.35399948812826,-0.405245235017849,13,0.6
1,0,-0.802507442898716,0.68437958268646,6,0.706
1,0,-0.928005138222546,0.389029758726949,5,0.66
0,1,-1.20942090977002,-0.516730726496415,8,0.772
0,1,0.106669380931715,0.867928538953895,5,0.018
1,0,-1.10164117720293,0.491842404333788,10,0.51
1,0,-1.19519202144236,-0.497019713151548,7,0.718
1,0,-0.762328557533863,0.191604249064766,8,0.574
0,1,-0.918464703062087,-0.899597449707133,7,0.47
1,0,-1.10447605184191,-0.159251788473903,12,0.66
0,1,-1.35808824865663,1.78188880572872,5,0.898
1,0,-1.27931145948709,-0.377334440121506,7,0.54
1,0,-0.783208491250234,0.187504358289041,13,0.596
1,0,-1.13898519215309,-0.38017282604316,12,0.548
0,1,-0.605047552299639,0.249475784245306,4,0.234
0,1,-0.62325617139787,-1.58159851143957,5,0.444
0,1,-1.20827605566933,-0.372761485025505,11,0.398
0,1,-1.15179664088664,0.436178502647889,7,0.854
1,0,-1.03905588176316,-0.182747316380977,10,0.726
0,1,-0.966003351338094,0.174731621641543,5,0.658
0,1,-0.987428459778174,0.115913957820472,5,0.638
1,0,-1.19404716864146,-0.385534221672972,14,0.554
0,1,-0.832328140440967,-0.85970235869712,15,0.336
0,1,-0.780482640377873,0.0170435148826135,10,0.394
1,0,-1.06838592523854,0.338411876457352,4,0.57
0,1,-1.02395472174125,-1.69213787427759,5,0.494
0,1,-1.23460767456835,-0.286506090628347,11,0.372
1,0,-0.792149251176768,0.410002276925897,6,0.444
1,0,-0.82513191675414,-0.656600077191598,11,0.274
1,0,-1.63972208412677,-0.83273769244134,9,0.132
0,1,-0.795311221811453,-0.100434124652784,8,0.39
0,1,-1.52125705916078,0.347715474756121,9,0.856
1,0,-0.944850834484159,-0.457439998355044,5,0.442
0,1,-1.24120421131306,-0.442144251999432,10,0.39
0,1,-0.975107659587427,0.118752343742133,5,0.698
0,1,-1.00367446975772,0.753604661553646,11,0.602
1,0,-1.01893917680264,0.423563454107182,8,0.614
1,0,-0.878239075864452,-0.0975844752949307,5,0.528
1,0,-0.701869408487435,-1.40199175784113,5,0.532
0,1,-0.868328700828957,-0.0319524325746399,13,0.576
0,1,-0.997732141891433,-0.876574986120326,7,0.712
0,1,-1.33377375252649,-0.312524628243596,15,0.706
0,1,-1.04886890396053,-0.5217767459127,10,0.504
1,0,-0.440297762987211,0.203588545178429,5,0.774
0,1,-1.0527396025159,0.121117665343517,13,0.744
1,0,-0.751534223953295,0.00710916415680044,3,0.732
0,1,-1.09193718689581,-0.310316994748955,9,0.58
1,0,-1.24959979696269,-0.432367589380385,12,0.414
0,1,-1.01768529333002,0.0547309723980176,11,0.732
0,1,-0.75856689736765,-1.36950800784879,5,0.498
1,0,-0.991408188274132,0.0731804808888135,5,0.706
0,1,-0.994461129943073,-0.561356460709195,9,0.384
0,1,-1.48385852799132,-1.20172786225727,15,0.08
1,0,-0.558272140578178,0.149659212666895,5,0.574
1,0,-1.13511449749706,-1.66280788642042,5,0.324
1,0,-0.800042501171657,-2.12477772204315,10,0.142
0,1,-0.760584022593938,0.377518526933561,8,0.458
0,1,-0.482439254221299,0.38193379392282,5,0.548
1,0,-0.859641056740384,-0.698545113589477,7,0.404
0,1,-0.935692007527662,-0.420540981373465,6,0.614
1,0,-0.41158836837846,-1.63773547744575,10,0.244
0,1,-0.767834760438693,0.4691353169605,5,0.492
1,0,-0.529728692040122,-1.6989860434854,5,0.448
1,0,-0.776611958394716,0.614208375178745,10,0.734
0,1,-1.02711670147441,0.167635656837414,11,0.686
0,1,-1.39777648529591,1.24984913352404,12,0.674
1,0,-1.21917941854058,-0.987902789492142,6,0.414
0,1,-0.869399564129934,-0.255756909810376,11,0.638
1,0,-0.995333398712817,-0.255126157383333,8,0.736
0,1,-0.877468057236397,0.272025183511828,9,0.392
0,1,-0.742811534956071,1.10840290176127,10,0.372
1,0,-1.1701688099324,-0.485823857571661,7,0.72
1,0,-1.18259863713922,-0.796311739780024,6,0.454
0,1,-0.962786864595808,0.0848494007889444,6,0.65
0,1,-0.468373920390409,0.182931403193017,5,0.686
1,0,-1.15370472934849,-0.621751005597872,7,0.742
1,0,-0.821642836476036,0.326427580343664,5,0.576
1,0,-0.992553043430894,-0.0931804717418886,5,0.526
1,0,-0.715716671389016,-1.59216361459242,5,0.238
1,0,-1.13244317280561,-0.121722019065265,11,0.726
1,0,-0.943324366574198,-1.96619980382463,5,0.234
1,0,-1.20484149840391,-0.0889228928593978,12,0.69
1,0,-0.617041257144569,0.212734455370456,5,0.46
1,0,-0.901673522258183,-0.160040229007688,5,0.292
1,0,-0.756876868786961,0.446743605800723,5,0.546
1,0,-1.17158624319007,-0.375126806626881,12,0.676
1,0,-0.730926876623943,-0.328766503239752,5,0.542
0,1,-0.880739065285411,0.591185911591948,7,0.732
0,1,-1.1947558864076,-0.338227789645289,10,0.49
0,1,-1.60766620322366,-1.27426439136639,9,0.02
1,0,-0.844594419974878,-0.46390521073216,9,0.526
0,1,-0.595725180269798,0.108502616802811,9,0.548
1,0,-1.19399265277757,1.62041618440757,10,0.922
0,1,-0.427486313278828,-0.131025617364035,5,0.65
0,1,-0.836253350322604,-2.03222606681185,5,0.504
0,1,-1.0773266832154,-0.256545350344163,10,0.598
0,1,-0.565359324251113,-0.360619500805043,5,0.732
0,1,-1.29882847771873,-0.595259403662369,11,0.474
1,0,-0.884010069435078,0.222511117989504,7,0.538
0,1,-0.781245891879911,-0.166820817598332,3,0.498
1,0,-0.994897260753545,0.0892646677782263,5,0.574
0,1,-0.789586960975134,0.0197242126975325,10,0.584
0,1,-1.04581596424126,0.436336190754656,7,0.53
1,0,-0.63508631724322,-0.302984497784664,13,0.32
0,1,-1.21841618072688,-0.261118305440165,12,0.658
0,1,-0.672103239400714,-0.384903469245928,8,0.4
1,0,-1.00858098118134,-0.602986120893556,7,0.678
0,1,-0.695654489035007,0.442170650704721,5,0.512
1,0,-0.819135069530803,-1.25376493748772,10,0.36
1,0,-0.901782550574036,-0.550633669449587,11,0.692
0,1,-0.742114497042812,-1.30369575014932,10,0.3
0,1,-0.610390210131124,-0.25733379087795,5,0.308
1,0,-1.04636113376584,-0.238411218066877,10,0.872
